UserId;OwnerUserId;NbrOfComments
51836;50706;2
50706;50706;3
50946;50946;7
44139;52494;2
51659;52360;6
41058;50946;6
40853;52506;2
52506;52506;6
836;45597;2
46527;46527;4
52109;52109;13
52473;52473;2
35597;36935;2
30940;30940;2
32771;32771;2
45064;52506;2
29412;46375;2
50163;24593;2
33202;43472;4
33202;52444;2
33202;52462;4
43472;43472;12
52527;13370;2
52509;50727;2
26202;28175;4
35644;52506;4
13370;13370;6
381;52538;2
381;52532;2
52462;52462;2
37184;52379;2
46375;51714;2
52213;52213;2
35644;52532;2
52360;52360;6
27114;52538;2
381;45602;2
52494;45264;6
28175;52546;2
51836;52311;2
29587;46633;2
29587;52532;2
29587;52555;8
52555;52555;9
29587;23159;2
11061;17310;2
924;51845;4
29587;17310;2
52555;29587;4
45264;52494;2
35644;41255;2
44456;46375;2
21596;44039;8
50641;1029;2
21596;45064;2
45064;45064;6
35644;1029;4
52532;52532;2
45166;46375;2
52546;52546;2
23857;51836;2
51845;51845;2
52572;52109;2
51845;29587;4
44039;51714;2
52581;43472;2
51714;28175;14
33202;37585;2
51836;51836;16
50727;52590;2
29587;12202;2
52589;29587;4
44039;52608;2
44039;52611;4
52611;52611;2
381;52608;2
381;52617;4
52623;19172;2
8560;43077;8
52553;836;2
29587;52605;2
381;37986;12
43077;43077;41
26019;38751;2
45264;52634;2
46868;50211;2
52510;50363;2
52617;52617;2
47522;47522;3
43077;8560;10
45374;42829;2
44393;52651;2
35644;42829;2
35644;45191;10
38751;38751;3
50946;1330;2
836;33551;2
41254;52594;2
43638;52670;2
381;52672;2
52670;52670;14
52663;52663;4
29587;51845;6
471;24919;2
471;2893;2
45713;52428;2
35644;45713;2
52428;52428;15
52706;47080;8
28175;46375;2
52678;49293;2
49293;49293;7
33202;24887;2
52695;44617;2
26562;52439;2
710;52729;4
29575;52729;2
28175;52729;2
35644;52729;2
52726;35679;2
18626;52670;14
35644;43077;2
35679;35679;20
35644;52740;2
33759;35679;2
35644;50727;11
471;52740;2
29203;52742;2
924;41929;2
47958;50727;2
47958;14560;2
34;5;2
51;36;2
66;36;2
51;64;2
24;22;2
36;36;4
21;97;2
115;84;2
53;66;2
120;118;4
118;118;4
84;9;2
151;62;2
62;62;2
157;9;2
63;21;2
41;21;2
92;136;2
92;14;2
146;84;6
146;157;2
84;84;20
14;14;13
157;158;2
21;21;37
158;158;20
158;178;6
36;179;2
24;179;2
63;119;2
178;178;7
115;158;2
26;179;2
59;158;2
178;26;2
116;21;6
158;36;2
189;84;2
189;21;2
116;92;2
116;157;2
115;199;2
178;199;2
21;158;4
92;92;6
156;113;4
92;113;4
70;199;2
70;96;2
200;70;2
211;199;2
173;212;4
113;113;5
212;212;6
92;173;4
173;173;3
31;113;2
118;158;2
173;92;2
172;199;2
118;227;2
;26;2
227;84;2
84;199;2
158;199;2
216;227;4
236;227;2
84;21;4
229;199;2
212;92;2
200;118;2
227;227;8
229;108;4
249;26;2
92;172;4
178;172;2
227;158;2
158;227;2
172;172;4
84;249;2
173;97;2
173;262;2
92;250;2
92;71;2
289;227;2
159;71;2
295;59;6
250;250;4
59;59;8
275;108;3
156;59;2
92;21;2
297;108;2
227;249;2
227;97;2
273;250;2
318;227;2
249;249;4
249;21;2
339;21;6
375;108;2
133;375;2
227;122;2
387;227;2
141;381;2
403;26;2
413;59;2
434;82;2
375;375;8
84;451;2
471;273;2
11;273;2
434;418;2
403;434;2
533;478;2
386;432;2
386;403;2
560;381;2
386;434;2
598;227;2
