OwnerUserId;UserId;NbrOfLinks
67135;64795;1
67536;27330;1
52816;32429;1
70776;66117;1
70776;66736;1
70820;16236;1
70950;66117;1
69949;69945;1
49297;51209;1
71047;54503;1
71047;70614;1
25442;41658;1
62249;41658;1
71222;158;1
65133;41658;1
70680;14434;3
67605;70587;1
71047;68934;1
71335;42094;1
71314;29353;1
71348;12515;1
71357;13672;1
30613;67605;1
68313;847;1
71469;44101;1
37976;8820;1
71556;66640;1
71585;97;1
71630;10814;1
71581;47254;1
69148;28868;1
71778;21560;1
49278;35420;1
62521;14582;1
71849;13736;1
69471;64985;1
61728;57019;1
66117;18818;1
66974;2661;1
71960;26800;1
18693;67605;1
201;32311;1
73164;97;1
73127;30697;1
70342;60035;1
71301;588;1
71218;10049;1
65153;13736;1
66117;63652;2
47279;67605;1
47279;30613;1
73513;10275;1
67161;67605;1
16218;67605;1
59630;67605;1
50146;68023;1
73620;58589;1
71538;67605;1
61964;20655;1
67349;52820;1
67349;13686;1
49332;41658;1
71896;43677;1
28917;52987;1
73733;50919;1
73762;62521;1
73870;56645;1
73870;16807;1
45764;37703;1
58385;13518;1
69644;70759;1
74248;97;1
74068;12580;1
70118;26847;1
74369;73950;1
71861;61522;1
74441;47561;2
73912;1151;1
58789;41658;1
70674;13891;2
63365;67605;1
50146;50406;1
74590;18303;1
74607;70674;1
42205;68023;1
47126;50441;1
74855;8240;1
73766;73785;1
61445;53274;1
73086;69376;1
62599;19040;1
56760;74982;1
75198;57434;1
75218;38355;1
70132;1151;1
71442;64985;1
71896;20544;1
36943;41658;1
75405;69963;1
75608;8820;1
75608;43077;1
75666;33728;1
75323;122;2
71515;52269;1
71515;46258;1
75738;54953;1
65767;52780;1
75890;16236;1
13046;76050;1
75812;56904;1
76212;44645;1
73128;26579;1
76217;18247;1
74421;64553;1
76315;43656;1
76315;44394;1
76475;50727;1
76530;43769;1
76485;17978;1
76485;33020;1
39916;64410;1
73851;74421;1
23240;62989;1
40360;43958;1
57323;15946;1
57691;49700;1
76825;10990;1
13046;69154;1
57323;73441;1
76907;27682;1
74894;33838;1
69822;49700;1
77225;76044;1
49496;56922;1
77314;41626;1
77314;52096;1
67952;13736;1
52663;30482;1
58384;2893;1
73397;15624;1
73397;1138;1
77434;113;1
32243;62762;2
76579;28175;2
60105;41741;1
77574;20509;1
77645;97;1
77698;56593;1
46672;39513;1
77780;46731;1
27369;69646;1
69646;36935;1
41692;18129;1
73919;74719;2
77961;17315;1
76156;77295;2
78007;77631;1
56354;77631;1
71442;77173;1
67316;44256;1
77900;46374;1
10088;20338;1
7812;73209;1
67437;8517;1
77904;295;1
77803;19240;1
30668;32042;1
32042;30668;1
30668;54404;1
78523;14582;1
78523;42599;1
60105;41397;1
23403;10462;2
60394;73930;1
78613;18221;1
49517;43077;1
75549;45507;1
78728;16807;1
78739;37932;1
78739;10947;1
78756;67605;1
70137;50622;1
69770;70946;1
79006;17310;1
65765;51431;1
50870;15430;1
79163;38256;1
79207;40240;1
44865;27432;1
78416;74525;1
77949;23090;1
78910;71585;1
62446;70118;1
79301;59110;1
38802;38911;1
79386;30025;1
79386;63602;1
79388;45821;1
65133;26675;2
12377;15430;1
13023;50870;1
79679;21955;2
79160;57545;1
67605;30613;1
79845;27194;1
44287;13518;1
80034;18247;1
75157;76626;1
47036;32860;1
8251;44581;1
80522;66880;1
54115;37063;1
80221;57434;1
40329;14999;1
40329;70118;1
40329;56414;1
45768;227;1
80757;41658;1
80776;44456;1
80829;78739;1
51931;22080;1
74390;11074;1
80850;69154;1
25843;15412;1
61883;43656;1
57310;70082;1
37014;49032;1
71952;13518;1
32243;39331;1
82318;13518;1
82510;64001;1
82488;41658;1
43476;75467;1
82582;97;1
82620;49456;1
82749;1151;2
43706;44139;1
62646;18306;1
82834;82614;1
42722;44256;1
82859;71861;1
82826;73650;1
73650;82826;1
83051;77992;1
78200;97;2
52588;82859;1
68748;56655;1
78126;17310;1
62938;27607;1
51125;67605;1
83330;58283;1
83359;82861;1
61884;12515;1
67537;33338;1
8820;51090;1
27135;76485;1
46375;2647;2
65776;50146;1
83783;2725;1
83783;8960;1
45610;49617;2
71541;41977;1
83425;21560;1
83802;4879;1
51286;73650;1
84113;8318;1
29430;13450;1
62073;12983;2
39751;70759;1
54236;3054;1
3613;51743;1
51743;3613;1
68313;59087;1
84558;22012;1
71952;53278;1
84713;59087;1
57233;62528;1
82764;83125;1
65274;15402;1
68740;57917;1
84924;30668;1
84591;61152;1
67537;38036;1
73074;54754;1
85212;70169;1
64471;14487;1
85257;54737;1
17310;66117;2
78838;60620;1
3443;20618;1
73505;1151;2
68467;46893;1
84566;24119;1
85387;40029;1
85232;1151;1
27645;58488;1
85797;71525;1
85421;79602;1
71952;49017;1
85882;18247;2
33386;37063;1
50727;17318;1
85278;53278;1
